24
24
Reef,Reef,Ocean,Ocean,Ocean,Ocean,Reef,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Reef,Ocean,Ocean,Ocean,Ocean
Reef,Reef,Reef,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,SeaPort_neutral,Plains,Forest,Plains,Road,Beach,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean
Reef,Reef,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Plains,Plains,Plains,Plains,Road,Plains,Forest,Plains,Road,Barracks_2,Beach,HQ_2,Beach,Ocean,Ocean,Ocean
Reef,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Plains,Plains,Plains,Plains,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Forest,Ocean,Ocean
Reef,Ocean,Ocean,Ocean,Ocean,Ocean,Beach,Plains,Plains,Property_neutral,Plains,Road,Barracks_neutral,Forest,Forest,Plains,Road,Forest,Forest,Forest,Forest,Ocean,Ocean,Ocean
Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Plains,Plains,Road,Road,Road,Road,Mountain,Plains,Plains,Plains,Road,Forest,Forest,Property_2,Beach,Ocean,Ocean,Ocean
Ocean,Ocean,Ocean,Ocean,Ocean,Mountain,Plains,Road,Road,Forest,Mountain,Plains,Plains,Forest,Plains,Forest,Road,Forest,Forest,Mountain,Mountain,Ocean,Ocean,Reef
Ocean,Ocean,Ocean,Ocean,Plains,Plains,Plains,Road,Property_neutral,Plains,Plains,Forest,Plains,Plains,Plains,Plains,Road,Mountain,Road,Road,Plains,Ocean,Reef,Reef
Ocean,Reef,Ocean,Beach,Forest,Plains,Road,Road,Forest,Plains,Forest,Plains,Forest,Mountain,Property_neutral,Plains,Road,Plains,Road,AirPort_neutral,Ocean,Ocean,Ocean,Reef
Ocean,Ocean,Ocean,Plains,Plains,Property_neutral,Road,Plains,Plains,Plains,Road,Forest,Road,Forest,Road,Road,Road,Road,Road,Beach,Ocean,Ocean,Ocean,Ocean
Ocean,Ocean,Ocean,River,Bridge,River,Bridge,River,River,Plains,Plains,Plains,Forest,Property_neutral,Road,Plains,Road,Plains,Plains,Beach,Ocean,Ocean,Ocean,Ocean
Ocean,Ocean,Ocean,Forest,Forest,Plains,Road,Plains,Beach,Plains,Plains,Forest,Road,Forest,Plains,Plains,Road,Road,Plains,Property_neutral,Ocean,Reef,Ocean,Ocean
Ocean,Ocean,Ocean,Ocean,Property_neutral,Plains,Road,Road,Forest,Plains,Forest,Road,Forest,Plains,Plains,Beach,Plains,Road,Plains,Forest,Forest,Ocean,Ocean,Ocean
Reef,Ocean,Ocean,Ocean,Beach,Plains,Property_neutral,Road,Plains,Road,Property_neutral,Forest,Plains,Plains,Plains,River,River,Bridge,River,Bridge,River,Ocean,Ocean,Ocean
Reef,Reef,Ocean,Ocean,Beach,Road,Road,Road,Road,Road,Forest,Road,Forest,Road,Plains,Plains,Plains,Road,Property_neutral,Plains,Plains,Ocean,Ocean,Ocean
Ocean,Ocean,Ocean,Ocean,AirPort_neutral,Road,Plains,Road,Plains,Property_neutral,Mountain,Forest,Plains,Forest,Plains,Forest,Road,Road,Plains,Forest,Beach,Ocean,Ocean,Ocean
Ocean,Ocean,Ocean,Plains,Road,Road,Mountain,Road,Plains,Plains,Plains,Plains,Forest,Plains,Plains,Property_neutral,Road,Plains,Plains,Plains,Ocean,Ocean,Ocean,Ocean
Ocean,Ocean,Ocean,Mountain,Mountain,Forest,Forest,Road,Forest,Plains,Forest,Plains,Plains,Mountain,Forest,Road,Road,Plains,Mountain,Ocean,Ocean,Ocean,Ocean,Ocean
Ocean,Reef,Ocean,Beach,Property_1,Forest,Forest,Road,Plains,Plains,Plains,Mountain,Road,Road,Road,Road,Plains,Plains,Ocean,Ocean,Reef,Ocean,Ocean,Ocean
Ocean,Ocean,Ocean,Forest,Forest,Forest,Forest,Road,Property_neutral,Forest,Forest,Barracks_neutral,Road,Plains,Property_neutral,Plains,Plains,Beach,Ocean,Ocean,Ocean,Ocean,Ocean,Reef
Ocean,Ocean,Forest,Road,Road,Road,Road,Road,Road,Road,Road,Road,Road,Plains,Plains,Plains,Plains,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Reef
Ocean,Ocean,Ocean,Beach,HQ_1,Beach,Barracks_1,Road,Plains,Forest,Plains,Road,Plains,Plains,Mountain,Forest,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Reef,Reef
Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Beach,Road,Plains,Forest,Plains,SeaPort_neutral,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Reef,Reef,Reef
Ocean,Ocean,Ocean,Ocean,Reef,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Reef,Ocean,Ocean,Ocean,Ocean,Ocean,Ocean,Reef,Reef,Reef,Reef
